place_id,nome,endereco,capital_busca,termo_busca
ChIJZXKvt7ONf5ERFYb60yHYl6s,Luddu Us Play,"R. São Marcos, 54 - Casa 2 - Isaura Parente, Rio Branco - AC, 69918-274, Brasil",Rio Branco,ludobar
ChIJZXKvt7ONf5ERFYb60yHYl6s,Luddu Us Play,"R. São Marcos, 54 - Casa 2 - Isaura Parente, Rio Branco - AC, 69918-274, Brasil",Rio Branco,luderia
ChIJZXKvt7ONf5ERFYb60yHYl6s,Luddu Us Play,"R. São Marcos, 54 - Casa 2 - Isaura Parente, Rio Branco - AC, 69918-274, Brasil",Rio Branco,ludoteca
ChIJ2UKjW1iMf5ERByyrivOQGSY,Mundo Kids,"R. Quintino Bocaiuva, 1572 - Bosque, Rio Branco - AC, 69909-400, Brasil",Rio Branco,ludoteca
ChIJdxw4r3sdPoERpY-NVje3vx4,Hora da Diversão Brinquedos,"R. Sapolândia, 60 - Santa Quitéria, Rio Branco - AC, 69918-802, Brasil",Rio Branco,ludoteca
ChIJZXKvt7ONf5ERFYb60yHYl6s,Luddu Us Play,"R. São Marcos, 54 - Casa 2 - Isaura Parente, Rio Branco - AC, 69918-274, Brasil",Rio Branco,board game bar
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,"R. Riachuelo, 1339 - Sala 1003 ( Cobertura - Centro Histórico, Porto Alegre - RS, 90010-270, Brasil",Rio Branco,board game café
ChIJK8ljwOWNf5ERjBqIzYMZ6_4,Tenpo Mokuzai,"Aquiri Shopping - loja 3100 - Centro, Rio Branco - AC, 69900-076, Brasil",Rio Branco,bar de jogos de tabuleiro
ChIJ4fA6DUuNf5ER_yWsCSvWV2M,Jogos offline,"R. Dama da Noite, 908 - Jardim Tropical, Rio Branco - AC, 69901-248, Brasil",Rio Branco,jogos de tabuleiro
ChIJAST9A1qMf5ERea7KiThIpxo,Junior Games,"Posto Parati - R. Isaura Parente, 434 - sala"" 2 - Bosque, Rio Branco - AC, 69900-900, Brasil",Rio Branco,jogos de tabuleiro
ChIJlYRHP5aNf5ERekyVRHNgmV0,"Plebeu Games e Informática - Rua Isaura Parente, Rio Branco - AC","R. Isaura Parente, 409 - Bosque, Rio Branco - AC, 69900-490, Brasil",Rio Branco,jogos de tabuleiro
ChIJk7PCx-07WpMRpKWoFqgjTgs,Toca do Tabuleiro,"SHCGN SCRN 708/709 subindo do Pão de Açúcar para o CEUB, Bloco G Loja 10 - Asa Norte, Brasília - DF, 70741-670, Brasil",Rio Branco,jogos de tabuleiro
ChIJZXKvt7ONf5ERFYb60yHYl6s,Luddu Us Play,"R. São Marcos, 54 - Casa 2 - Isaura Parente, Rio Branco - AC, 69918-274, Brasil",Rio Branco,jogos de tabuleiro
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,ludobar
ChIJTzXegbBFAQcRqOFAITIzAIM,El Lugar Bar,"R. Dr. Sadi Carvalho, 05 - Jatiúca, Maceió - AL, 57036-160, Brasil",Maceió,ludobar
ChIJGZqe4nFFAQcROKyoXPArrvM,Rex Bar,"R. Sá e Albuquerque, 674 - Jaraguá, Maceió - AL, 57022-180, Brasil",Maceió,ludobar
ChIJv8fLWrpFAQcR9gefi-E5QxA,Boteco da Bola | Bar e Restaurante em Maceió,"R. Profa. Maria Esther da Costa Barros, 306 - Jatiúca, Maceió - AL, 57036-840, Brasil",Maceió,ludobar
ChIJc4z0GXBFAQcRGn5YSC0gnbo,Lorde Nelson Rest Pub - Bar de Metal 🤘,"R. Silvério Jorge, 241 - Jaraguá, Maceió - AL, 57022-050, Brasil",Maceió,ludobar
ChIJLQLZ06VFAQcRnwRlxv3ZCco,Babasom Rock Bar,"R. Pres. Agostinho da Silva Neves, 19 - Poço, Maceió - AL, 57025-245, Brasil",Maceió,ludobar
ChIJY9IHdwZFAQcRjhyoOb544w0,Gravity PUB (Studio & Karaokê),"Av. Dom Antônio Brandão, 17 - Farol, Maceió - AL, 57051-190, Brasil",Maceió,ludobar
ChIJhx1Q-qlFAQcRGzL7mShoJHk,Clube do Pirata,"Av. Silvio Carlos Viana, 28 - Ponta Verde, Maceió - AL, 57035-160, Brasil",Maceió,ludobar
ChIJoXOYsrxFAQcR_AYapa5hV8k,BrinqueLazer,"Av. Dr. Júlio Marques Luz, 1657 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,ludobar
ChIJjyJtYo9PAQcRLo1vHfDoqFs,Bombar & Galeteria,"R. Álvaro Marinho, 728 - Prado, Maceió - AL, 57010-050, Brasil",Maceió,ludobar
ChIJ0UnfCd9FAQcRp1aI_6g-sjw,Amostradinho Petiscaria,"R. José Cabral Acioli, 262 - Jatiúca, Maceió - AL, 57035-677, Brasil",Maceió,ludobar
